,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
191,-0.09155097161451266,-0.08802340788499738,0.10019440107241398,-0.09852493671318341,118,2,0.0,143.0,1.0,3.1,3.75,0.0,0.656532164298613
192,-0.011226134549082622,-0.017095949692793495,-0.03729240220939991,0.028901389801369134,118,3,4.0,419.0,1.0,3.1,3.6666666666666665,0.0,0.557086014531156
193,0.03901791756651062,-0.009880463442193524,-0.04379796995923739,0.06911687632356353,119,1,2.0,316.0,1.0,3.4,3.5833333333333335,0.196116135138184,0.0
195,0.035934971719344774,-0.027045328017640553,0.04814895110729172,-0.006625977857807815,119,3,2.0,408.0,0.0,3.4,3.6666666666666665,0.196116135138184,0.78086880944303
196,-0.014931192061644253,0.0599811127268611,-0.012731172092398432,-0.0008232347768945777,120,3,6.0,190.0,1.0,3.8,4.25,0.645497224367903,0.968329663731489
197,-0.03338574073114639,0.10306956170075561,-0.0031841096601767957,0.00513140963826341,121,1,4.0,393.0,0.0,3.2,3.25,0.279508497187474,0.52522573143889
198,0.018218268287817974,-0.026764732684774983,0.010705699419328984,0.020303002795985604,121,3,9.0,298.0,0.0,3.7,3.6666666666666665,-0.166666666666667,1.0
202,0.12596724674826187,-0.04055016817132815,-0.022061001582125747,-0.010009387431077627,125,1,7.0,600.0,1.0,3.2,4.083333333333333,0.642857142857143,0.29277002188456
203,-0.005326426843285679,-0.003321113109396878,0.010044820462314984,0.006365797222290531,125,3,6.0,601.0,1.0,3.5,4.166666666666667,0.666666666666667,0.254823595718813
204,0.02104601739972479,-0.05823299920599448,0.008757590871901144,-0.008648913637045202,126,1,5.0,555.0,1.0,3.3,3.6666666666666665,0.294174202707276,0.850962943396763
209,-0.003220395571405753,0.02123034307523746,0.015549510959170502,-0.014496628394249995,128,2,8.0,504.0,1.0,3.2,3.9166666666666665,0.0,-0.462910049886276
211,-0.007905592992412456,0.5596322610063,0.4951272672573264,0.012291254187708257,129,1,6.0,357.0,1.0,3.3,4.083333333333333,-0.133630620956212,0.177997663795994
214,0.012063649466609008,-0.008374172021387414,-0.01352426552174436,-0.018858531426489317,130,1,3.0,728.0,1.0,3.6,4.416666666666667,0.166666666666667,1.0
215,0.0031651848106861507,-0.007972287833101414,-0.033407760639288187,-0.045266097578527884,130,2,7.0,424.0,0.0,3.7,4.25,0.612372435695795,0.968329663731489
217,-0.06306975496562829,-0.04070227961136946,-0.006356039275156007,-0.07818941815614923,131,1,7.0,530.0,1.0,3.4,3.9166666666666665,0.784464540552736,0.279145263119541
223,0.18336229399892914,0.03309780670220765,0.24321420201649788,-0.06972310218258268,133,1,5.0,282.0,1.0,3.8,4.166666666666667,0.534522483824849,0.377964473009227
226,0.004649001922052635,0.051303074273647525,-0.03352745558064002,-0.031784016824528576,135,1,5.0,1062.0,1.0,4.0,4.5,-1.0,0.87831006565368
228,-0.027668961434971294,0.027765949276241896,-0.023129016811329485,0.013413569318572977,136,1,2.0,860.0,1.0,3.8,4.0,0.372677996249965,0.391076944437521
229,0.012317475866633528,-0.03015086893335014,-0.026494579997139278,0.0033006911998522863,136,2,5.0,525.0,1.0,3.8,4.083333333333333,0.74535599249993,-0.316227766016838
234,0.0265346423532761,-0.05225287591494267,-0.02328740492396015,-0.004499587397272094,138,2,7.0,821.0,1.0,2.7,3.8333333333333335,0.912870929175277,0.600532564178963
