,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
101,-0.19382950070468768,0.0020776184481027344,0.5945598764212402,-0.0038160007938071133,73,2,7.0,318.0,0.0,4.1,3.9166666666666665,-0.327326835353989,0.877058019307029
102,-0.0014847701589716556,0.01613626322598119,0.06440434300356021,0.03275867902546604,73,3,7.0,225.0,0.0,4.2,4.25,-0.408248290463863,0.968329663731489
103,0.017169326395839433,-0.009556549409268882,0.016042118603709805,-0.004296541474551118,74,1,2.0,596.0,0.0,3.1,4.083333333333333,-0.559016994374947,0.297044262893002
104,0.09619248358362709,0.04294938907360264,0.027880410921355195,0.025859780231137202,74,2,3.0,746.0,1.0,2.9,3.9166666666666665,0.0,0.0
105,0.014860892850655871,-0.004085124672394367,0.019601800362749267,-0.008254880525353326,74,3,0.0,397.0,0.0,3.1,4.166666666666667,-0.612372435695795,0.557086014531156
106,0.006593818147033209,-0.008372973812361682,0.03003729173803474,0.012964102428323758,75,1,9.0,417.0,0.0,4.0,4.083333333333333,-0.218217890235992,0.857492925712544
107,0.045388080042096525,-0.12682865713504066,0.023524299533467092,0.03233993000699973,75,3,10.0,201.0,0.0,4.6,4.583333333333333,0.408248290463863,1.0
108,0.043386954768711815,-0.14336858217309714,-0.25584993591638894,-0.21645779445261548,77,1,10.0,756.0,1.0,2.4,3.8333333333333335,-0.25,0.363803437554499
109,-0.011193124596060873,-0.03714655385989933,0.017242546463145273,0.0010119993223691424,77,2,11.0,591.0,0.0,2.4,4.166666666666667,0.166666666666667,1.0
114,0.020354742081503806,0.4766986443033038,0.3677929592476704,0.10962071219384706,81,1,1.0,721.0,1.0,3.6,3.0833333333333335,0.686406472983644,0.0
115,0.019957345519647278,-0.000959037812609883,-0.038340755209062896,-0.005114881383052566,81,2,7.0,485.0,0.0,3.9,3.3333333333333335,0.0,0.649519052838329
116,0.006147249050315169,-0.14076961746184913,0.019583033628398843,-0.01046297967971792,82,1,9.0,387.0,1.0,2.5,3.6666666666666665,-0.534522483824849,0.661437827766148
117,-0.10175797932900285,-0.03283710030050882,-0.039013225574855724,-0.01582269853937225,83,1,1.0,451.0,1.0,3.7,3.75,0.645497224367903,-0.685994340570035
118,-0.022770224469477893,0.06134801710152134,0.18746817362433738,0.040019524437997764,83,2,8.0,327.0,1.0,3.6,3.5833333333333335,0.790569415042095,-0.269679944985297
119,0.029299985540400343,-0.010354556621005704,-0.0016356791372680803,0.012182696643350793,84,1,1.0,444.0,0.0,3.3,4.0,0.0,0.108465228909328
120,-0.016726371097095172,-0.01695657370956961,-0.005827984904634041,-0.008203727434919745,86,1,3.0,417.0,1.0,3.9,4.25,0.880704845927979,0.349215147884789
122,0.0028710221294837857,0.041033639953115014,-0.01608913586591758,-0.04089472057596384,87,1,0.0,498.0,1.0,3.2,3.3333333333333335,0.592927061281571,0.894427190999916
126,0.004157961916139237,-0.011714865354896324,-0.042878192169424255,-0.024069587650110223,89,1,5.0,484.0,1.0,3.9,4.166666666666667,0.0,0.316227766016838
133,0.03780238884853388,-0.04869274872324159,-0.042828656050512476,0.08734467547620924,92,1,1.0,372.0,1.0,3.5,3.5,-0.534522483824849,-0.54232614454664
135,0.010010455285354559,-0.014554440348090765,-0.05612121935662876,0.010127700807832655,93,3,2.0,218.0,0.0,3.5,3.5833333333333335,0.25,-0.2
137,0.053513657354750895,0.04698982929024416,0.019588179577705894,0.011574002712687066,95,1,5.0,405.0,0.0,3.4,2.9166666666666665,-0.327326835353989,-0.321633760451338
138,-0.007661080757187995,0.026541367436277812,0.08406553814317295,0.031889536886330366,96,1,1.0,302.0,1.0,3.1,4.166666666666667,-0.320256307610174,-0.25
139,-0.006659447054748179,-0.03324950055642504,0.04921659017817433,-0.01957453064049186,96,2,8.0,379.0,1.0,2.8,4.0,0.612372435695795,0.2
