,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
121,-0.01582103233972334,0.05031423722448804,-0.002160380485403862,-0.00868757531044413,87,3,72.0,0.0,719.0,0.0
122,0.004781652622499429,0.01357616037870547,-0.03534395668778191,0.006364241211457696,88,3,75.0,5.0,447.0,0.0
123,0.017472192954706423,0.04092677638088093,0.006807514453693219,0.009383264986457378,89,1,76.0,5.0,484.0,1.0
124,0.05099138022468148,-0.06638368297140942,0.0038760303948790755,-0.014453345277927293,89,2,77.0,6.0,536.0,1.0
125,0.018975054271514285,-0.05790638255321557,-0.03054877608914121,0.01324067353670251,89,3,78.0,6.0,355.0,1.0
126,-0.012326227457500975,0.005853804838257134,0.052476762079368446,0.06472007772593465,90,1,79.0,1.0,163.0,1.0
127,-0.01991486620426736,-0.008243992399834341,-0.017019801742040885,-0.0020485142969169238,90,2,80.0,2.0,497.0,0.0
128,-0.006760154414332385,-0.00818736867366933,-0.003729460935615535,-0.001893334571741985,90,3,81.0,0.0,673.0,0.0
129,-0.04253991396099759,-0.01682593234316333,-0.09140969711214639,0.008110435302866825,91,2,83.0,0.0,526.0,1.0
130,0.04420171755705619,-0.1655048093773329,-0.08292118236951031,0.020226110674297047,92,1,84.0,1.0,372.0,1.0
131,0.017272234246643838,-0.003966614377211129,0.0034162021057142235,-0.011933478333638555,92,2,85.0,10.0,612.0,0.0
132,0.14754627913387663,-0.1455472080626622,-0.15180956366934445,0.01852014129713559,93,1,87.0,4.0,472.0,1.0
133,-0.08535788544547072,-0.05393546022643201,0.04744728636309761,-0.028141156259521672,93,3,89.0,2.0,218.0,0.0
135,-0.013567432926352912,-0.08513592322807721,0.05172417483583146,0.003722342512370179,94,3,90.0,8.0,351.0,1.0
136,0.07303062464221262,0.005776545521772858,0.09094658253002603,0.0037706259139714143,95,1,91.0,5.0,405.0,0.0
137,0.0726478806763804,0.08255196754655826,0.010534687214885761,-0.005318846422739316,96,1,94.0,1.0,302.0,1.0
138,0.0706361567394064,0.13950858773383132,0.1457612272123819,-0.08578681501403497,96,2,95.0,8.0,379.0,1.0
139,0.03608711514634543,0.06596189575070573,-0.011161904878941588,-0.0710617192552251,96,3,96.0,7.0,279.0,0.0
140,-0.09289311334370964,-0.019557502430983167,-0.050687185888822435,-0.0022057963447537515,97,1,97.0,11.0,822.0,1.0
141,0.11263598645765599,0.1140585739427697,0.06864802024559649,-0.07955179409998223,97,2,98.0,9.0,476.0,1.0
142,-0.034512316519155435,0.12086855004239291,0.0026826653329157725,0.09003012866363397,97,3,99.0,11.0,323.0,0.0
143,-0.018002158650287363,0.016223963415435163,-0.37429495221481296,0.44069917728189295,98,1,100.0,5.0,455.0,1.0
144,0.017296832547359177,0.008128347541069048,0.004928901270220359,0.01581959989365739,99,2,103.0,2.0,498.0,1.0
145,-0.05005207208374599,0.06668425590848155,0.0325702326980941,-0.06524401015180453,99,3,104.0,6.0,333.0,0.0
146,-0.0015456322677367105,0.001769354462022282,-0.006660084472023421,-0.007397688087386796,100,1,105.0,4.0,876.0,0.0
147,0.010488045198662829,0.003042044151554285,-0.0255575794106641,0.006842946203901079,100,2,106.0,4.0,497.0,1.0
148,0.016994246415436377,0.0533817112211449,-0.019388806870143663,0.01517171354489125,101,1,108.0,2.0,292.0,1.0
149,0.07413044837964176,0.008146150564705834,0.013413782585644907,0.038865041882768264,102,1,111.0,0.0,198.0,1.0
151,0.01993720643648761,-0.010878905471484188,0.003947104865058417,0.04237942286837303,102,3,112.0,0.0,753.0,0.0
152,0.01923943661162366,-0.010927290033669232,-0.011025958100294372,0.019473474860706653,103,1,113.0,10.0,564.0,1.0
153,0.023467312972928922,0.01067864381948941,0.04366943576200972,0.015456301520882195,104,2,117.0,7.0,194.0,0.0
154,0.009758604133618039,-0.0045409581163505675,0.03658420230547672,0.007552819384109902,105,1,119.0,7.0,643.0,1.0
155,-0.04675285963946084,-0.02375667414674754,-0.006719033357216718,-0.03624917426695314,105,2,120.0,5.0,577.0,1.0
156,0.020122693526939343,-0.10133437177382898,-0.034551574409300866,0.030156561295997444,106,1,122.0,9.0,515.0,1.0
157,0.0003490824901714311,-0.0031871511192810478,-0.021521459957453637,0.04724132807215989,106,2,123.0,7.0,389.0,0.0
158,0.008029069369139467,-0.014210008834568803,-0.00254451017013706,-0.002650093630701251,106,3,124.0,7.0,450.0,0.0
